Location,Population,PopulationType,Market,PotentialRevenue,PresentRevenue,Vehicles,Distribution
Pulivendla (M),98230.6,FTP,Rural Towns,916819,0,0,Direct
Rajampet (NP + OG),80805.4,FTP,Rural Towns,754184,1109775.73,2,Direct
Visakhapatnam,2538000,TLP,Urban,23688000,2315912.73,13,Direct
Vijayawada,1931000,TLP,Urban,18022667,7512738.68,24,Direct
Guntur,1001759.2,TLP,Urban,9349753,8048234.85,12,Direct
Nellore,818693.2,FLP,Urban,7641137,8379069.61,8,Direct
Kurnool,684161.4,FLP,Urban,6385506,2029811.72,4,Direct
Kakinada,574353,FLP,Urban,5360628,3893470.72,4,Direct
Rajahmundry,562617.9,FLP,Urban,5251100,932380.34,6,Direct
Kadapa,476778.9,OLP,Urban,4449936,4284162.49,16,Direct
Tirupati,438664.2,OLP,Urban,4094199,3978800.34,0,Direct
Anantapur,413201.5,OLP,Urban,3856547,851749.33,4,Direct
Vizianagaram,341936.4,OLP,Urban,3191406,0,4,Direct
Eluru,325939.9,OLP,Urban,3042106,2821046.78,8,Direct
Nandyal,316079.4,OLP,Urban,2950074,511800.94,4,Direct
Ongole,306095.4,OLP,Urban,2856890,4705948.98,4,Direct
Adoni,276014.7,OLP,Semi Urban,2576137,0,2,Direct
Madanapalle,269369.1,OLP,Semi Urban,2514112,850129.44,1,Direct
Machilipatnam,253988.8,OLP,Semi Urban,2370562,1174260.78,1,Direct
Tenali (M),246581.4,OLP,Semi Urban,2301426,1215359.17,1,Direct
Proddatur (M + OG),245135.8,OLP,Semi Urban,2287934,0,1,Direct
Chittoor (M + OG),240279,OLP,Semi Urban,2242604,1731411.4,0,Direct
Hindupur (M),226757.7,OLP,Semi Urban,2116405,39898.66,1,Direct
Bhimavaram (M + OG),219706.5,OLP,Semi Urban,2050594,93508.8,1,Direct
Srikakulam (M + OG) (Part),202373.6,OLP,Semi Urban,1888820,0,0,Direct
Guntakal (M),188774.3,OLP,Semi Urban,1761893,0,0,Direct
Dharmavaram (M),182201.5,OLP,Semi Urban,1700547,0,0,Direct
Gudivada (M),176659.6,OLP,Semi Urban,1648823,248392.17,1,Direct
Narasaraopet (M + OG),175645.6,OLP,Semi Urban,1639359,678627.18,1,Direct
Tadpatri (M),161716.1,OLP,Semi Urban,1509350,0,0,Direct
Mangalagiri (M + OG),160260.1,OLP,Semi Urban,1495761,828728.35,1,Direct
Tadepalligudem (M + OG),155528.1,OLP,Semi Urban,1451596,244326.76,1,Direct
Chilakaluripet (M),151590.4,OLP,Semi Urban,1414844,472287.94,1,Direct
Yemmiganur (M),142247.3,OLP,Semi Urban,1327641,0,0,Direct
Rayachoti (M),136394.7,OLP,Semi Urban,1273017,1715553.01,2,Direct
Kavali (M + OG),134698.2,OLP,Semi Urban,1257183,1209279.31,0,Direct
Kadiri (M),133695.9,OLP,Semi Urban,1247828,682608.7,1,Direct
Chirala (M + OG) (Part),133620.5,OLP,Semi Urban,1247125,308668.59,0,Direct
Anakapalle (M),129346.1,OLP,Semi Urban,1207230,582262.56,0,Direct
Palacole (M + OG),121392.7,OLP,Semi Urban,1132999,0,1,Direct
Srikalahasti (M),119683.2,OLP,Semi Urban,1117043,866715.07,1,Direct
Tanuku (M + OG),116552.8,OLP,Semi Urban,1087826,806910.63,2,Direct
Gudur (M + OG) (Part),109658.9,OLP,Semi Urban,1023483,469738.5,1,Direct
Markapur (M),106282.8,OLP,Semi Urban,991973,0,0,Direct
Bapatla (M),105812.2,OLP,Semi Urban,987581,241977.93,0,Direct
Tadepalle (M + OG),95902.3,FTP,Rural Towns,895088,0,0,Direct
Piduguralla (NP),94338.4,FTP,Rural Towns,880492,570086.75,0,Direct
Vinukonda (M + OG),93512.9,FTP,Rural Towns,872787,224786.37,1,Direct
Nagari (M),93068.3,FTP,Rural Towns,868637,0,0,Direct
Rayadurg (M),92314.3,FTP,Rural Towns,861600,64836.58,1,Direct
Ponnur (M),89570,FTP,Rural Towns,835987,264352.46,1,Direct
Dhone (NP),88611.9,FTP,Rural Towns,827044,0,0,Direct
Narasapur (M),87861.8,FTP,Rural Towns,820043,317326.74,1,Direct
Nuzvid (M),87592.7,FTP,Rural Towns,817532,0,0,Direct
Palasa Kasibugga (M),85972.9,FTP,Rural Towns,802414,430545.89,2,Direct
Macherla (M),85649.2,FTP,Rural Towns,799393,295755.5,1,Direct
Kandukur (M),85582.9,FTP,Rural Towns,798774,877488.25,1,Direct
Samalkot (M),85012.2,FTP,Rural Towns,793447,0,0,Direct
Bobbili (M),84944.6,FTP,Rural Towns,792816,0,0,Direct
Sattenapalle (M),84797.7,FTP,Rural Towns,791445,0,0,Direct
Mandapeta (M + OG),83813.6,FTP,Rural Towns,782260,153708.84,1,Direct
Bheemunipatnam (M + OG),82347.2,FTP,Rural Towns,768574,0,0,Direct
Pithapuram (M + OG),82014.4,FTP,Rural Towns,765468,0,0,Direct
Punganur (M),81845.4,FTP,Rural Towns,763890,562765.19,1,Direct
Puttur (M),80867.8,FTP,Rural Towns,754766,0,0,Direct
Parvathipuram (M),80497.3,FTP,Rural Towns,751308,0,0,Direct
Jaggaiahpet (M),80028,FTP,Rural Towns,746928,0,1,Direct
Tuni (M),79870.7,FTP,Rural Towns,745460,0,2,Direct
Amalapuram (M),79580.8,FTP,Rural Towns,742754,99741.6,2,Direct
Venkatagiri (M + OG),78768.3,FTP,Rural Towns,735171,0,0,Direct
Palamaner (M + OG) (Part),76918.4,FTP,Rural Towns,717905,0,0,Direct
Repalle (M),76044.8,FTP,Rural Towns,709751,1370632.38,1,Direct
Salur (M),74002.5,FTP,Rural Towns,690690,0,1,Direct
Peddapuram (M),73968.7,FTP,Rural Towns,690375,0,0,Direct
Jangareddigudem,73245.9,FTP,Rural Towns,683628,0,0,Direct
Gooty (CT),72744.1,FTP,Rural Towns,678945,144050.63,1,Direct
Nandi Kotkur,70194.8,FTP,Rural Towns,655151,0,0,Direct
Vuyyuru,69503.2,FTP,Rural Towns,648697,0,0,Direct
Jammalamadugu (NP),68872.7,FTP,Rural Towns,642812,0,1,Direct
Atmakur,68325.4,FTP,Rural Towns,637704,0,0,Direct
Dowleswaram (CT),66732.9,FTP,Rural Towns,622840,0,0,Direct
Nandigama,66316.9,FTP,Rural Towns,618958,0,0,Direct
Akkarampalle (CT),66107.6,FTP,Rural Towns,617004,0,0,Direct
Nidadavole (M),65494,FTP,Rural Towns,611277,0,0,Direct
Ramachandrapuram (M),65267.8,FTP,Rural Towns,609166,0,0,Direct
Rajam (NP),63085.1,FTP,Rural Towns,588794,0,1,Direct
Badvel (M) (Part),62501.4,FTP,Rural Towns,583346,493165.39,1,Direct
Pileru (CT),62025.6,FTP,Rural Towns,578906,971082.81,1,Direct
Ipuru Palem (Part),60520.2,FTP,Rural Towns,564855,0,0,Direct
Amadalavalasa (M),59499.7,FTP,Rural Towns,555331,0,0,Direct
Kovvur (M),59302.1,FTP,Rural Towns,553486,0,0,Direct
Kodur (East),58914.7,FTP,Rural Towns,549871,426734.08,0,Direct
Bethamcherla (CT),58295.9,FTP,Rural Towns,544095,0,0,Direct
Vetapalem (CT),57813.6,FTP,Rural Towns,539594,0,0,Direct
Tirupati (NMA) (CT),56761.9,FTP,Rural Towns,529778,0,1,Direct
Kanigiri (U) (CT),55942.9,FTP,Rural Towns,522134,324539.18,1,Direct
Kadiam,55537.3,FTP,Rural Towns,518348,0,0,Direct
Ichchapuram (M),54557.1,FTP,Rural Towns,509200,0,0,Direct
Vempalle,53866.8,FTP,Rural Towns,502757,0,0,Direct
Uravakonda (CT),53170,FTP,Rural Towns,496253,0,0,Direct
Giddaluru (CT),52549.9,FTP,Rural Towns,490466,0,0,Direct
Vavveru,50534.9,FTP,Rural Towns,471659,0,0,Direct
Narsipatnam (CT),50467.3,FTP,Rural Towns,471028,132528.63,2,Direct
Darsi,49960.3,UFTP,Rural Villages,466296,0,0,Indirect
Kondapalle (CT),49892.7,UFTP,Rural Villages,465665,0,0,Indirect
Addanki (North) (U),49458.5,UFTP,Rural Villages,461613,0,0,Indirect
Yeleswaram,49271.3,UFTP,Rural Villages,459865,0,0,Indirect
Yerraguntla (CT),48698,UFTP,Rural Villages,454515,0,0,Indirect
Kalyandurg (CT),48330.1,UFTP,Rural Villages,451081,110593.38,1,Indirect
Kovur,47962.2,UFTP,Rural Villages,447647,0,0,Indirect
Podili (CT),46562.1,UFTP,Rural Villages,434580,0,0,Indirect
Thummapala,46397,UFTP,Rural Villages,433039,0,0,Indirect
Chirala (CT),46133.1,UFTP,Rural Villages,430576,0,1,Indirect
Pedana (M),45927.7,UFTP,Rural Villages,428659,0,0,Indirect
Chimakurthi,45267.3,UFTP,Rural Villages,422495,0,0,Indirect
Kakkalapalle (CT),45041.1,UFTP,Rural Villages,420384,0,0,Indirect
Allagadda,44534.1,UFTP,Rural Villages,415652,0,0,Direct
Ibrahimpatnam (CT),44001.1,UFTP,Rural Villages,410677,0,0,Indirect
Atmakur,43981.6,UFTP,Rural Villages,410495,693030.56,0,Indirect
Pattikonda,43865.9,UFTP,Rural Villages,409415,0,0,Indirect
Kodumur,43097.6,UFTP,Rural Villages,402244,0,0,Indirect
Badvel (M) (Part),43084.6,UFTP,Rural Villages,402123,0,0,Indirect
Tekkali (CT),42803.8,UFTP,Rural Villages,399502,0,0,Indirect
Ramanayyapeta (CT),42411.2,UFTP,Rural Villages,395838,0,0,Indirect
Srungavarapukota,42315,UFTP,Rural Villages,394940,0,0,Indirect
Tangutur,41340,UFTP,Rural Villages,385840,0,0,Indirect
Sulluru (Sullurpeta) (CT),41119,UFTP,Rural Villages,383777,0,0,Indirect
Penukonda,40935.7,UFTP,Rural Villages,382067,756750.6,1,Indirect
Yelamanchili (CT),40761.5,UFTP,Rural Villages,380441,0,1,Indirect
Payakaraopeta (CT),40366.3,UFTP,Rural Villages,376752,0,1,Indirect
Pamidi,40194.7,UFTP,Rural Villages,375151,54593.18,1,Indirect
Anaparthy,40047.8,UFTP,Rural Villages,373779,85319.32,1,Direct
Mamidalapadu (CT),39907.4,UFTP,Rural Villages,372469,0,0,Indirect
Narasannapeta (CT),39288.6,UFTP,Rural Villages,366694,0,0,Indirect
B.Kothakota,39156,UFTP,Rural Villages,365456,0,0,Indirect
Gurazala,39154.7,UFTP,Rural Villages,365444,0,0,Indirect
Renigunta (CT),38916.8,UFTP,Rural Villages,363223,1038269.75,1,Indirect
Chintalapudi,38798.5,UFTP,Rural Villages,362119,0,0,Indirect
GVMC (Part),38212.2,UFTP,Rural Villages,356647,524885.88,0,Indirect
Attili,37381.5,UFTP,Rural Villages,348894,0,0,Indirect
S.Mydukur,37139.7,UFTP,Rural Villages,346637,547109.12,1,Indirect
Avilala (CT),37134.5,UFTP,Rural Villages,346589,0,0,Indirect
Palacharla,36766.6,UFTP,Rural Villages,343155,0,0,Indirect
Gorantla,36756.2,UFTP,Rural Villages,343058,0,1,Indirect
Polekurru,36702.9,UFTP,Rural Villages,342560,0,0,Indirect
Kothapeta,36686,UFTP,Rural Villages,342403,526278.81,1,Direct
Akividu,36636.6,UFTP,Rural Villages,341942,125577.74,1,Indirect
Mogalthur,36162.1,UFTP,Rural Villages,337513,189422.32,1,Indirect
Kosigi,36127,UFTP,Rural Villages,337185,0,0,Indirect
Suryaraopeta (CT),36047.7,UFTP,Rural Villages,336445,0,0,Indirect
Yadiki,35907.3,UFTP,Rural Villages,335135,0,0,Indirect
Gollaprolu,35703.2,UFTP,Rural Villages,333230,0,0,Indirect
Koilkuntla,35669.4,UFTP,Rural Villages,332914,0,0,Indirect
Avanigadda,35487.4,UFTP,Rural Villages,331216,796462.41,1,Indirect
Mummidivaram,35479.6,UFTP,Rural Villages,331143,0,0,Indirect
Katheru (CT),35240.4,UFTP,Rural Villages,328910,0,0,Indirect
Kadapa (M Corp. + OG) (Part),34989.5,UFTP,Rural Villages,326569,0,0,Indirect
Pedakakani,34685.3,UFTP,Rural Villages,323729,0,0,Indirect
Ravulapalem,34596.9,UFTP,Rural Villages,322904,0,0,Indirect
Velgode,34456.5,UFTP,Rural Villages,321594,0,0,Direct
Tiruchanur (CT),34329.1,UFTP,Rural Villages,320405,0,0,Indirect
Gopavaram (CT),34288.8,UFTP,Rural Villages,320029,0,0,Indirect
Losarigutlapadu,34132.8,UFTP,Rural Villages,318573,0,0,Indirect
Velpuru,34037.9,UFTP,Rural Villages,317687,0,0,Indirect
Kanchikacherla,34019.7,UFTP,Rural Villages,317517,0,0,Indirect
Eluru (R) (Part),33573.8,UFTP,Rural Villages,313355,0,0,Indirect
Parimpudi,33338.5,UFTP,Rural Villages,311159,0,0,Indirect
Gudur,33294.3,UFTP,Rural Villages,310747,469738.5,0,Indirect
Ankireddipalem (R),33272.2,UFTP,Rural Villages,310541,0,0,Indirect
Bukkarayasamudram,32890,UFTP,Rural Villages,306973,0,0,Indirect
Kuppam (CT),32834.1,UFTP,Rural Villages,306452,180799.78,1,Indirect
Mylavaram,32535.1,UFTP,Rural Villages,303661,780543.14,1,Indirect
Alluru Kotha Patnam,32484.4,UFTP,Rural Villages,303188,0,0,Indirect
Veeravasaram,32468.8,UFTP,Rural Villages,303042,0,0,Indirect
Chagallu,32445.4,UFTP,Rural Villages,302824,0,0,Indirect
Pakala,32240,UFTP,Rural Villages,300907,0,0,Indirect
Madakasira,32089.2,UFTP,Rural Villages,299499,0,0,Indirect
Ganapavaram,32078.8,UFTP,Rural Villages,299402,0,0,Indirect
"Srisailam Project(RFC)
Township (CT)",32071,UFTP,Rural Villages,299329,0,0,Indirect
Martur,32043.7,UFTP,Rural Villages,299075,0,0,Indirect
Pamarru,31985.2,UFTP,Rural Villages,298529,0,0,Indirect
Kaikalur,31831.8,UFTP,Rural Villages,297097,0,0,Indirect
Chagalamarri,31826.6,UFTP,Rural Villages,297048,0,0,Indirect
Nizampatnam,31367.7,UFTP,Rural Villages,292765,0,0,Indirect
Vinnamala (CT),31281.9,UFTP,Rural Villages,291964,0,0,Indirect
Palakonda (CT),31036.2,UFTP,Rural Villages,289671,0,2,Indirect
Banaganapalle (CT),31019.3,UFTP,Rural Villages,289513,0,0,Direct
Gannavaram,30988.1,UFTP,Rural Villages,289222,0,0,Indirect
Vinjamur,30855.5,UFTP,Rural Villages,287985,283651.67,1,Indirect
Kamalapuram,30830.8,UFTP,Rural Villages,287754,0,0,Indirect
Nellimarla (CT),30644.9,UFTP,Rural Villages,286019,0,0,Indirect
Chandragiri,30347.2,UFTP,Rural Villages,283241,0,1,Indirect
Chodavaram (CT),30275.7,UFTP,Rural Villages,282573,0,0,Indirect
Pamur (CT),29900,UFTP,Rural Villages,279067,0,0,Indirect
Kolamuru,29803.8,UFTP,Rural Villages,278169,0,0,Indirect
L.A.Sagaram (CT),29757,UFTP,Rural Villages,277732,0,0,Indirect
Karlapalem,29711.5,UFTP,Rural Villages,277307,0,0,Indirect
Kanekal,29498.3,UFTP,Rural Villages,275317,52000.65,1,Indirect
Gorantla (Part),29468.4,UFTP,Rural Villages,275038,0,0,Indirect
Nambur,29415.1,UFTP,Rural Villages,274541,0,0,Indirect
Achanta,29162.9,UFTP,Rural Villages,272187,0,0,Indirect
Rameswaram (CT),29126.5,UFTP,Rural Villages,271847,0,0,Indirect
Singarayakonda (RS) (CT),29003,UFTP,Rural Villages,270695,0,0,Indirect
Yerragonda Palem,29000.4,UFTP,Rural Villages,270670,0,0,Indirect
Peruru,28887.3,UFTP,Rural Villages,269615,0,0,Indirect
Mangalam (CT),28880.8,UFTP,Rural Villages,269554,0,0,Indirect
Arumbaka,28561,UFTP,Rural Villages,266569,0,0,Indirect
Chinaganjam,28494.7,UFTP,Rural Villages,265951,0,0,Indirect
Dachepalle,28467.4,UFTP,Rural Villages,265696,0,1,Indirect
Narpala,28377.7,UFTP,Rural Villages,264859,0,0,Indirect
Somandepalle (CT),28247.7,UFTP,Rural Villages,263645,0,0,Indirect
Sriramnagar (CT),28245.1,UFTP,Rural Villages,263621,0,0,Indirect
Jaggampeta,28224.3,UFTP,Rural Villages,263427,0,0,Indirect
Sompeta (CT),28073.5,UFTP,Rural Villages,262019,0,1,Indirect
Nadim Tiruvuru (CT),27757.6,UFTP,Rural Villages,259071,0,0,Indirect
Tadikonda,27665.3,UFTP,Rural Villages,258209,0,0,Indirect
Sirvel,27625,UFTP,Rural Villages,257833,0,0,Indirect
Yeditha,27565.2,UFTP,Rural Villages,257275,0,0,Indirect
Kalidindi,26998.4,UFTP,Rural Villages,251985,0,0,Indirect
Veldurthi,26746.2,UFTP,Rural Villages,249631,0,0,Indirect
Bodduvani Palem,26738.4,UFTP,Rural Villages,249558,0,0,Indirect
Vissannapet,26689,UFTP,Rural Villages,249097,0,0,Indirect
Inkollu,26283.4,UFTP,Rural Villages,245312,0,0,Indirect
Valmikipuram,26214.5,UFTP,Rural Villages,244669,0,0,Indirect
Vedurupaka,25954.5,UFTP,Rural Villages,242242,0,0,Indirect
Ellamanda,25916.8,UFTP,Rural Villages,241890,0,0,Indirect
Nadikudi,25771.2,UFTP,Rural Villages,240531,0,0,Indirect
Machavaram,25691.9,UFTP,Rural Villages,239791,0,0,Indirect
Challapalle,25515.1,UFTP,Rural Villages,238141,0,0,Indirect
Pernametta (Part),25476.1,UFTP,Rural Villages,237777,0,0,Indirect
Hukumpeta (CT),25392.9,UFTP,Rural Villages,237000,0,0,Indirect
Srikurmam,25374.7,UFTP,Rural Villages,236831,0,0,Indirect
Kotha Peta (Part),25312.3,UFTP,Rural Villages,236248,0,0,Indirect
Kamavarapukota,25101.7,UFTP,Rural Villages,234283,0,0,Indirect
Gonegandla,24953.5,UFTP,Rural Villages,232899,0,0,Indirect
Podalakur,24909.3,UFTP,Rural Villages,232487,0,0,Indirect
Gunjepalle,24856,UFTP,Rural Villages,231989,0,0,Indirect
Pericherla,24761.1,UFTP,Rural Villages,231104,0,0,Indirect
Rentachintala,24701.3,UFTP,Rural Villages,230545,0,0,Indirect
Gudipallipadu,24648,UFTP,Rural Villages,230048,0,0,Indirect
Gokavaram,24501.1,UFTP,Rural Villages,228677,97507.8,1,Indirect
Phirangipuram,24466,UFTP,Rural Villages,228349,0,0,Indirect
Galiveedu,24434.8,UFTP,Rural Villages,228058,0,0,Indirect
Kota,24274.9,UFTP,Rural Villages,226566,0,0,Indirect
Tadikalapudi,24271,UFTP,Rural Villages,226529,0,0,Indirect
Porumamilla,24220.3,UFTP,Rural Villages,226056,243701.73,1,Indirect
Chennur,24108.5,UFTP,Rural Villages,225013,0,0,Indirect
Kollur,24038.3,UFTP,Rural Villages,224357,0,0,Indirect
Vontimitta,24020.1,UFTP,Rural Villages,224188,0,1,Indirect
Penugonda,23977.2,UFTP,Rural Villages,223787,0,0,Indirect
Pathapatnam,23851.1,UFTP,Rural Villages,222610,0,0,Indirect
Udayagiri @ Kondayapalem,23726.3,UFTP,Rural Villages,221445,0,1,Indirect
Vetlapalem,23557.3,UFTP,Rural Villages,219868,0,0,Indirect
Kasimkota,23550.8,UFTP,Rural Villages,219807,0,0,Indirect
Sakhinetipalle,23501.4,UFTP,Rural Villages,219346,0,0,Indirect
Thummalapenta,23479.3,UFTP,Rural Villages,219140,0,0,Indirect
Kolakaluru,23332.4,UFTP,Rural Villages,217769,0,0,Indirect
Antarvedi,23329.8,UFTP,Rural Villages,217745,0,0,Indirect
Chilamathur,23095.8,UFTP,Rural Villages,215561,0,0,Indirect
Kambadur,23084.1,UFTP,Rural Villages,215452,0,0,Indirect
Morampudi (CT),22942.4,UFTP,Rural Villages,214129,0,0,Indirect
Maddikera (East),22915.1,UFTP,Rural Villages,213874,0,0,Indirect
Undi,22906,UFTP,Rural Villages,213789,0,0,Indirect
Bapulapadu,22757.8,UFTP,Rural Villages,212406,0,0,Indirect
Peapally,22724,UFTP,Rural Villages,212091,0,0,Indirect
Thondangi,22707.1,UFTP,Rural Villages,211933,0,0,Indirect
Cumbum (CT),22677.2,UFTP,Rural Villages,211654,0,0,Indirect
