SepalLength,SepalWidth,PetalLength,PetalWidth,Variety
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
5.81,3.536,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
5.81,3.536,1.462,0.246,Setosa
4.936,2.604,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
5.81,3.536,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,2.604,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.032,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
5.81,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
5.81,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
5.81,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,3.536,1.462,0.246,Setosa
4.936,2.604,4.242,1.312,Versicolor
4.936,2.604,4.242,1.312,Versicolor
4.936,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
4.936,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
6.784,3.032,4.242,1.312,Versicolor
6.784,2.604,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
6.784,3.032,4.242,1.312,Versicolor
4.936,2.604,4.242,1.312,Versicolor
6.784,3.032,4.242,1.312,Versicolor
6.784,3.032,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
6.784,3.536,4.242,1.312,Versicolor
6.784,2.604,4.242,1.312,Versicolor
5.81,2.604,5.57,1.312,Virginica
5.81,3.032,4.242,1.312,Versicolor
5.81,2.604,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
5.81,3.032,4.242,1.312,Versicolor
6.784,3.536,4.242,1.312,Versicolor
6.784,2.604,4.242,1.312,Versicolor
6.784,3.032,4.242,1.312,Versicolor
6.784,2.604,4.242,1.312,Versicolor
6.784,3.032,5.57,1.312,Versicolor
5.81,2.604,5.57,1.312,Virginica
6.784,2.604,5.57,1.312,Virginica
5.81,3.536,4.242,1.312,Versicolor
5.81,3.536,4.242,1.312,Versicolor
5.81,2.604,5.57,2.04,Versicolor
6.784,3.032,5.57,2.04,Virginica
4.936,2.604,4.242,2.04,Virginica
6.784,3.032,5.57,2.04,Versicolor
5.81,2.604,4.242,2.04,Virginica
5.81,3.032,4.242,2.04,Virginica
5.81,3.032,4.242,2.04,Versicolor
6.784,2.604,5.57,2.04,Virginica
5.81,3.032,5.57,2.04,Virginica
5.81,3.032,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
5.81,2.604,5.57,2.04,Virginica
5.81,2.604,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
5.81,2.604,5.57,2.04,Virginica
5.81,2.604,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
5.81,3.536,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,2.604,5.57,2.04,Virginica
5.81,2.604,5.57,2.04,Virginica
6.784,3.032,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
6.784,3.536,5.57,2.04,Virginica
